Aeronave,Destination_Type,Origin_Type,Capacity,Passengers,Bookings,Route,STD_Month,STA_Month,STD_Block,STA_Block
XA-VAQ,6,3,186,,,144,1,1,9,11
XA-VXM,6,1,240,,,136,3,3,17,19
XA-VYB,6,1,180,,,139,4,4,10,12
XA-VXC,6,5,240,,,138,3,3,14,16
XA-VIK,6,1,186,,,139,4,4,23,1
XA-VXH,6,3,240,,,142,4,4,11,13
9H-MLX,6,1,178,,,146,3,3,20,22
XA-VAQ,6,3,186,,,144,4,4,15,17
XA-VAK,6,1,186,,,141,5,5,10,12
XA-VAV,6,1,186,,,136,4,4,23,24
XA-VBP,6,3,220,,,143,3,3,20,22
XA-VBX,6,1,240,,,136,1,1,20,22
XA-VXD,6,1,240,,,139,2,2,21,23
XA-VIP,6,1,186,,,139,4,4,23,1
XA-VBN,6,1,220,,,136,3,3,7,9
XA-VII,6,1,186,,,139,5,5,23,1
XA-VBU,6,1,220,,,146,3,3,23,1
XA-VXM,6,5,240,,,138,1,1,15,17
XA-VBW,6,1,220,,,136,3,3,7,9
XA-VBT,6,1,220,,,141,1,1,10,12
XA-VXD,6,1,240,,,136,2,2,14,16
XA-VBH,6,1,240,,,141,3,3,10,12
XA-VBY,6,3,240,,,143,1,1,17,19
XA-VIX,6,1,186,,,146,4,4,23,1
XA-VBT,6,1,220,,,139,2,2,21,23
XA-VBI,6,1,220,,,136,1,1,14,16
XA-VYF,6,3,180,,,142,2,2,11,13
XA-VBU,6,1,220,,,136,4,4,20,22
XA-VIL,6,3,186,,,140,4,4,20,22
XA-VXO,6,1,240,,,136,1,1,20,22
XA-VXC,6,1,240,,,141,1,1,10,12
XA-VYF,6,1,180,,,139,4,4,23,1
XA-VBN,6,1,220,,,136,3,3,7,9
XA-VAK,6,1,186,,,141,5,5,10,12
XA-VBH,6,1,240,,,136,4,4,6,7
XA-VBT,6,5,220,,,138,1,1,15,16
XA-VAR,6,3,186,,,143,4,4,15,17
XA-VIS,6,3,186,,,145,4,4,15,16
XA-VXF,6,1,240,,,141,3,3,10,12
XA-VBN,6,1,220,,,141,3,3,10,12
XA-VBU,6,1,220,,,139,3,3,23,24
XA-VXC,6,3,240,,,142,4,4,11,13
XA-VXB,6,3,240,,,137,1,1,12,14
XA-VXE,6,1,240,,,141,3,3,10,12
XA-VBT,6,3,220,,,140,1,1,20,21
XA-VBX,6,1,240,,,136,1,1,14,16
XA-VBV,6,1,220,,,139,2,2,21,23
XA-VBX,6,3,240,,,145,2,2,15,16
XA-VIX,6,3,186,,,142,1,1,11,13
XA-VBJ,6,1,220,,,139,2,2,10,12
XA-VBV,6,1,220,,,139,2,2,10,12
XA-VBX,6,1,240,,,136,1,1,20,22
XA-VBZ,6,1,236,,,146,1,2,23,1
XA-VBT,6,1,220,,,136,2,2,7,9
XA-VBI,6,1,220,,,146,2,2,23,1
XA-VXF,6,1,240,,,146,2,2,23,1
XA-VYB,6,1,180,,,136,3,3,14,16
XA-VIH,6,3,186,,,142,1,1,11,13
XA-VBP,6,3,220,,,137,3,3,15,16
XA-VBQ,6,1,220,,,136,2,2,21,23
XA-VXK,6,1,240,,,141,3,3,20,22
XA-VBM,6,3,240,,,140,1,1,20,21
XA-VBP,6,1,220,,,139,1,1,13,15
XA-VBV,6,1,220,,,141,1,1,10,12
XA-VBQ,6,1,220,,,136,3,3,20,22
XA-VAI,6,3,180,,,142,2,2,11,13
XA-VBQ,6,1,220,,,136,4,4,20,22
XA-VIK,6,3,186,,,143,4,4,15,17
XA-VIX,6,3,186,,,143,4,4,20,22
XA-VBW,6,3,220,,,137,3,3,15,16
XA-VIS,6,1,186,,,139,4,4,10,12
XA-VYB,6,3,180,,,137,4,4,14,16
XA-VXC,6,3,240,,,137,1,1,12,14
XA-VBP,6,1,220,,,136,4,4,20,22
XA-VXG,6,1,240,,,141,1,1,19,22
XA-VAJ,6,1,186,,,141,4,4,10,12
XA-VBN,6,1,220,,,139,1,1,21,24
XA-VXB,6,1,240,,,136,1,1,7,9
XA-VBN,6,5,220,,,138,1,1,14,16
XA-VBK,6,1,240,,,136,1,1,7,9
XA-VXK,6,3,240,,,142,4,4,11,13
XA-VXD,6,1,240,,,146,3,3,23,1
XA-VBJ,6,1,220,,,146,2,2,23,1
XA-VIX,6,1,186,,,139,4,4,10,12
XA-VBQ,6,1,220,,,136,2,2,14,16
XA-VBI,6,3,220,,,145,2,2,15,16
XA-VXF,6,3,240,,,137,3,3,15,16
XA-VXK,6,5,240,,,138,3,3,14,16
XA-VXE,6,1,240,,,139,1,1,21,24
XA-VAC,6,3,180,,,142,1,1,11,13
XA-VYB,6,1,180,,,146,4,4,23,1
XA-VBZ,6,1,236,,,139,2,2,10,12
XA-VXA,6,1,240,,,141,2,2,10,12
XA-VII,6,1,186,,,139,5,5,23,1
XA-VAY,6,3,186,,,144,5,5,15,17
XA-VXF,6,1,240,,,141,3,3,20,22
XA-VCC,6,1,230,,,136,2,2,7,9
XA-VAJ,6,1,186,,,146,5,5,9,11
XA-VXH,6,3,240,,,142,4,4,11,13
XA-VBN,6,1,220,,,136,3,3,7,9
XA-VIY,6,3,186,,,145,4,4,15,16
XA-VXF,6,3,240,,,137,2,2,15,16
XA-VAX,6,1,186,,,141,2,2,19,22
XA-VBV,6,1,220,,,136,2,2,14,16
XA-VBT,6,1,220,,,141,2,2,10,12
XA-VBW,6,1,220,,,139,3,3,10,12
XA-VBP,6,3,220,,,137,2,2,15,16
XA-VIX,6,5,186,,,138,4,4,15,16
XA-VXF,6,1,240,,,136,2,2,7,9
XA-VXP,6,1,240,,,139,2,2,10,12
XA-VIS,6,1,186,,,139,4,4,23,1
XA-VBX,6,1,240,,,136,3,3,20,22
XA-VBV,6,1,220,,,141,1,1,10,12
XA-VXK,6,1,240,,,146,3,3,23,1
XA-VYD,6,1,180,,,141,2,2,19,22
XA-VXE,6,3,240,,,140,2,2,20,22
XA-VXB,6,3,240,,,143,1,1,15,17
XA-VIK,6,3,186,,,137,4,4,15,16
XA-VBZ,6,1,236,,,139,2,2,21,23
XA-VII,6,1,186,,,136,3,3,14,16
XA-VBJ,6,3,220,,,140,2,2,20,21
XA-VII,6,1,186,,,136,2,2,14,16
XA-VYF,6,1,180,,,141,4,4,10,12
XA-VBN,6,1,220,,,139,1,1,10,12
XA-VAM,6,1,180,,,139,4,4,23,1
XA-VIS,6,1,186,,,141,4,4,10,12
XA-VBI,6,3,220,,,142,5,5,11,13
XA-VBP,6,1,220,,,136,4,4,20,22
XA-VXI,6,1,240,,,136,1,1,7,9
XA-VII,6,1,186,,,136,5,5,6,7
XA-VXL,6,1,240,,,136,4,4,23,24
XA-VXH,6,3,240,,,142,4,4,11,13
XA-VBK,6,3,240,,,143,2,2,15,17
XA-VXA,6,3,240,,,137,1,1,15,16
XA-VBM,6,3,240,,,137,1,1,15,16
XA-VXP,6,1,240,,,146,2,2,23,1
XA-VBM,6,1,240,,,136,3,3,7,9
XA-VIK,6,1,186,,,141,4,4,10,12
XA-VBP,6,1,220,,,136,2,2,14,16
XA-VXR,6,1,240,,,146,3,3,23,1
XA-VBP,6,1,220,,,141,3,3,10,12
XA-VXA,6,1,240,,,141,1,1,20,22
XA-VYB,6,1,180,,,146,4,4,23,1
XA-VBZ,6,1,236,,,146,2,2,23,1
XA-VAM,6,1,180,,,141,4,4,10,12
XA-VAN,6,1,186,,,136,4,4,22,24
XA-VAV,6,1,186,,,146,4,4,23,1
XA-VBK,6,1,240,,,139,2,2,10,12
XA-VBT,6,1,220,,,136,2,2,7,9
XA-VBN,6,1,220,,,136,4,4,20,22
XA-VBQ,6,1,220,,,141,1,1,10,12
XA-VBQ,6,1,220,,,141,1,1,10,12
XA-VBY,6,3,240,,,142,1,1,11,13
XA-VBV,6,1,220,,,136,1,1,14,16
XA-VAA,6,1,186,,,136,1,1,14,16
XA-VAR,6,3,186,,,140,4,4,20,22
XA-VIS,6,1,186,,,141,1,1,19,22
XA-VBN,6,3,220,,,137,3,3,15,16
XA-VXF,6,3,240,,,140,2,2,20,21
XA-VAJ,6,3,186,,,137,4,4,14,16
XA-VXN,6,3,240,,,137,2,2,15,16
XA-VXE,6,1,240,,,136,4,4,7,9
XA-VAK,6,1,186,,,146,1,1,17,19
XA-VXE,6,1,240,,,146,3,3,23,1
XA-VXJ,6,3,240,,,142,4,4,11,13
XA-VBQ,6,3,220,,,137,1,1,15,16
XA-VXF,6,1,240,,,136,2,2,20,22
XA-VBH,6,3,240,,,143,2,2,20,22
XA-VBX,6,1,240,,,136,2,2,7,9
XA-VBH,6,1,240,,,141,3,3,10,12
XA-VBV,6,1,220,,,139,3,3,21,23
XA-VIX,6,3,186,,,142,1,1,11,13
XA-VYE,6,3,180,,,143,4,4,20,22
XA-VXC,6,3,240,,,142,4,4,11,13
XA-VBW,6,1,220,,,141,2,2,10,12
XA-VBI,6,1,220,,,136,2,2,7,9
XA-VBW,6,1,220,,,146,3,3,23,1
XA-VIL,6,1,186,,,136,4,4,20,22
XA-VCC,6,1,230,,,136,3,3,14,16
XA-VXD,6,1,240,,,136,2,2,20,22
XA-VAK,6,5,186,,,138,5,5,15,16
XA-VIK,6,1,186,,,141,3,3,10,12
XA-VBU,6,1,220,,,136,1,1,7,9
XA-VBY,6,1,240,,,136,3,3,20,22
XA-VAV,6,1,186,,,139,4,4,23,1
XA-VBH,6,3,240,,,145,3,3,15,16
XA-VBM,6,1,240,,,141,1,1,10,12
XA-VAV,6,1,186,,,146,1,1,17,19
XA-VXL,6,3,240,,,137,1,1,15,16
XA-VCC,6,1,230,,,136,3,3,20,22
XA-VIY,6,1,186,,,146,4,4,23,1
XA-VIS,6,3,186,,,145,4,4,15,16
XA-VXI,6,3,240,,,145,1,1,15,16
XA-VIK,6,3,186,,,140,4,4,20,22
XA-VXN,6,3,240,,,143,2,2,20,22
XA-VBM,6,1,240,,,136,3,3,20,22
XA-VBI,6,1,220,,,139,2,2,10,12
XA-VAJ,6,1,186,,,136,4,4,22,24
XA-VXF,6,1,240,,,139,1,1,24,2
XA-VXC,6,3,240,,,145,1,1,18,19
XA-VAW,6,3,186,,,142,2,2,11,13
XA-VBX,6,1,240,,,139,1,1,10,12
XA-VBX,6,1,240,,,139,1,1,10,12
XA-VBX,6,1,240,,,136,1,1,20,22
XA-VXK,6,1,240,,,136,1,1,20,22
XA-VCC,6,1,230,,,136,4,4,23,24
XA-VIK,6,5,186,,,138,3,3,15,16
XA-VBZ,6,1,236,,,139,1,1,10,12
XA-VAQ,6,1,186,,,136,1,1,10,12
XA-VIX,6,1,186,,,139,4,4,23,1
XA-VBB,6,1,240,,,136,1,1,7,9
XA-VXE,6,3,240,,,143,3,3,15,17
XA-VXD,6,1,240,,,141,3,3,10,12
XA-VBN,6,3,220,,,137,1,1,15,16
XA-VXD,6,1,240,,,136,4,4,20,22
XA-VIX,6,1,186,,,136,2,2,14,16
XA-VAT,6,1,186,,,139,4,4,23,1
XA-VXP,6,1,240,,,139,2,2,10,12
XA-VXA,6,1,240,,,139,2,2,21,23
XA-VXF,6,1,240,,,139,2,2,10,12
XA-VXL,6,1,240,,,141,1,1,10,12
XA-VXM,6,1,240,,,141,1,1,22,24
XA-VXO,6,1,240,,,136,2,2,14,16
XA-VBW,6,3,220,,,145,3,3,15,16
XA-VBI,6,1,220,,,146,2,3,23,1
XA-VXK,6,1,240,,,136,3,3,20,22
XA-VBK,6,3,240,,,143,1,1,20,22
XA-VBP,6,1,220,,,146,3,3,23,1
XA-VIY,6,1,186,,,139,4,4,10,12
XA-VIL,6,1,186,,,139,4,4,10,12
XA-VAT,6,1,186,,,141,4,4,10,12
XA-VBP,6,1,220,,,136,2,2,7,9
XA-VXK,6,3,240,,,137,3,3,15,16
XA-VYE,6,3,180,,,144,3,3,9,11
XA-VBP,6,5,220,,,138,3,3,15,16
XA-VYB,6,1,180,,,136,2,2,14,16
XA-VIX,6,3,186,,,142,1,1,11,13
XA-VAJ,6,1,186,,,146,4,4,23,1
XA-VBV,6,1,220,,,141,3,3,19,22
XA-VXI,6,5,240,,,138,1,1,15,17
XA-VIK,6,1,186,,,141,4,4,10,12
XA-VIY,6,5,186,,,138,4,4,14,16
XA-VXA,6,1,240,,,139,2,2,21,23
XA-VXJ,6,1,240,,,136,5,5,7,9
XA-VIK,6,3,186,,,142,2,2,11,13
XA-VXF,6,1,240,,,139,3,3,10,12
XA-VBK,6,1,240,,,141,2,2,10,12
XA-VCC,6,1,230,,,136,4,4,20,22
XA-VXN,6,3,240,,,142,4,4,11,13
XA-VAY,6,1,186,,,141,3,3,19,22
XA-VIS,6,1,186,,,139,4,4,10,12
XA-VYD,6,1,180,,,136,1,1,14,16
XA-VAM,6,3,180,,,140,4,4,20,22
XA-VBK,6,1,240,,,146,2,2,23,1
XA-VAT,6,1,186,,,146,4,5,23,1
XA-VBH,6,3,240,,,145,3,3,15,16
XA-VBM,6,1,240,,,136,4,4,23,24
XA-VBW,6,1,220,,,136,4,4,6,7
XA-VBW,6,1,220,,,136,3,3,20,22
XA-VBN,6,1,220,,,136,4,4,20,22
XA-VBV,6,1,220,,,141,2,2,10,12
XA-VIK,6,1,186,,,139,4,4,10,12
XA-VBQ,6,3,220,,,137,2,2,15,16
XA-VXA,6,1,240,,,141,2,2,10,12
XA-VAU,6,3,186,,,142,3,3,11,13
XA-VBQ,6,1,220,,,136,4,4,6,7
XA-VXE,6,3,240,,,140,3,3,20,22
XA-VAU,6,3,186,,,142,3,3,11,13
XA-VBW,6,5,220,,,138,3,3,14,16
XA-VAQ,6,3,186,,,142,1,1,11,13
XA-VBJ,6,1,220,,,139,2,2,21,23
XA-VBX,6,1,240,,,139,2,2,10,12
XA-VXI,6,3,240,,,144,2,2,19,22
XA-VIY,6,1,186,,,139,4,4,10,12
XA-VBP,6,1,220,,,141,3,3,10,12
XA-VBV,6,3,220,,,137,2,2,15,16
XA-VXL,6,1,240,,,146,1,1,23,1
XA-VIY,6,3,186,,,143,4,4,20,22
XA-VBX,6,1,240,,,136,3,3,14,16
XA-VXK,6,1,240,,,136,1,1,7,9
XA-VYF,6,3,180,,,143,4,4,20,22
XA-VXE,6,3,240,,,140,2,2,20,21
XA-VIN,6,1,186,,,139,5,5,23,1
XA-VBY,6,1,240,,,136,2,2,20,22
XA-VXA,6,3,240,,,145,2,2,15,16
XA-VBT,6,1,220,,,136,2,2,14,16
XA-VIY,6,3,186,,,143,4,4,20,22
XA-VBT,6,1,220,,,139,2,2,21,23
XA-VXO,6,1,240,,,136,1,1,7,9
XA-VXD,6,1,240,,,136,2,2,20,22
XA-VBV,6,1,220,,,141,3,3,10,12
XA-VAV,6,1,186,,,146,4,4,9,11
XA-VBU,6,1,220,,,136,4,4,7,9
XA-VBI,6,1,220,,,136,2,2,14,16
XA-VBP,6,1,220,,,136,3,3,7,9
XA-VXM,6,1,240,,,141,1,1,10,12
XA-VIK,6,1,186,,,139,3,3,21,23
XA-VBX,6,1,240,,,139,2,2,21,23
XA-VIH,6,3,186,,,142,2,2,11,13
XA-VBA,6,1,240,,,141,1,1,10,12
XA-VXL,6,1,240,,,139,2,2,21,23
XA-VYB,6,1,180,,,139,4,4,10,12
XA-VAV,6,3,186,,,140,4,4,20,22
XA-VXP,6,3,240,,,140,2,2,20,21
XA-VXP,6,3,240,,,137,2,2,15,16
XA-VXR,6,5,240,,,138,3,3,14,16
XA-VAV,6,1,186,,,139,4,4,10,12
XA-VXC,6,3,240,,,142,4,4,11,13
XA-VXO,6,1,240,,,136,3,3,7,9
XA-VII,6,1,186,,,139,5,5,10,12
XA-VBQ,6,1,220,,,146,2,2,23,1
XA-VBM,6,1,240,,,141,1,1,10,12
XA-VBJ,6,3,220,,,140,2,2,20,21
XA-VAI,6,1,180,,,136,2,2,14,16
XA-VXG,6,1,240,,,139,2,2,21,23
XA-VAP,6,3,186,,,142,2,2,11,13
XA-VXC,6,3,240,,,137,3,3,15,16
XA-VBQ,6,3,220,,,140,1,1,20,21
XA-VBT,6,3,220,,,145,3,3,15,16
XA-VXN,6,1,240,,,136,4,4,7,9
XA-VBY,6,1,240,,,136,2,2,7,9
XA-VBV,6,1,220,,,136,4,4,22,24
XA-VAV,6,1,186,,,146,4,4,23,1
XA-VBI,6,1,220,,,136,3,3,14,16
XA-VIN,6,1,186,,,139,5,5,10,12
XA-VCC,6,1,230,,,136,1,1,7,9
XA-VBV,6,1,220,,,139,1,1,7,9
XA-VXN,6,3,240,,,145,2,2,15,16
XA-VXI,6,1,240,,,136,1,1,22,23
XA-VBY,6,1,240,,,136,2,2,7,9
XA-VII,6,3,186,,,142,2,2,11,13
XA-VYF,6,1,180,,,141,4,4,20,22
XA-VXC,6,1,240,,,139,1,1,23,1
XA-VBQ,6,3,220,,,145,1,1,15,16
XA-VXN,6,1,240,,,136,3,3,20,22
XA-VXN,6,1,240,,,136,1,1,7,9
XA-VBM,6,1,240,,,139,1,1,21,24
XA-VBW,6,1,220,,,136,5,5,20,22
XA-VBU,6,1,220,,,139,1,1,21,24
XA-VXG,6,3,240,,,143,2,2,20,22
XA-VBT,6,3,220,,,140,1,1,20,22
XA-VBW,6,1,220,,,136,5,5,20,22
XA-VIY,6,1,186,,,136,3,3,14,16
XA-VXQ,6,1,240,,,136,4,4,20,22
XA-VXA,6,1,240,,,139,1,1,10,12
XA-VAA,6,1,186,,,136,1,1,14,16
XA-VBW,6,1,220,,,141,3,3,20,22
XA-VBZ,6,1,236,,,146,2,2,23,1
XA-VCC,6,1,230,,,136,1,1,7,9
XA-VBH,6,1,240,,,139,2,2,10,12
XA-VBQ,6,1,220,,,139,3,3,21,23
XA-VXM,6,1,240,,,136,3,3,20,22
XA-VBN,6,1,220,,,139,3,3,10,12
XA-VXE,6,1,240,,,141,1,1,10,12
XA-VBP,6,1,220,,,139,1,1,12,14
XA-VYA,6,1,180,,,136,2,2,14,16
XA-VBX,6,3,240,,,140,1,1,20,22
XA-VBX,6,1,240,,,139,2,2,21,23
XA-VXJ,6,3,240,,,142,4,4,11,13
XA-VIY,6,1,186,,,141,4,4,10,12
XA-VBU,6,1,220,,,136,2,2,14,16
XA-VXB,6,1,240,,,139,1,1,7,9
XA-VIK,6,3,186,,,142,3,3,11,13
XA-VIN,6,1,186,,,141,5,5,10,12
XA-VBQ,6,1,220,,,136,3,3,14,16
XA-VAI,6,1,180,,,136,4,4,22,24
XA-VXN,6,3,240,,,142,4,4,11,13
XA-VYB,6,3,180,,,137,4,4,14,16
XA-VAR,6,3,186,,,140,4,4,20,22
XA-VXC,6,1,240,,,139,3,3,10,12
XA-VYE,6,3,180,,,142,3,3,11,13
XA-VIX,6,3,186,,,142,1,1,11,13
XA-VBT,6,1,220,,,136,3,3,7,9
XA-VBY,6,1,240,,,139,1,1,7,9
XA-VXA,6,1,240,,,139,1,1,10,12
XA-VXF,6,1,240,,,139,3,3,21,23
XA-VIH,6,3,186,,,142,1,1,11,13
XA-VIK,6,1,186,,,141,3,3,19,22
XA-VXA,6,3,240,,,145,1,1,15,16
XA-VYB,6,1,180,,,136,1,1,14,16
XA-VYD,6,1,180,,,136,1,1,14,16
XA-VXC,6,1,240,,,146,3,3,23,1
XA-VAC,6,1,180,,,136,5,5,23,24
XA-VXI,6,1,240,,,136,3,3,7,9
XA-VXC,6,3,240,,,142,4,4,11,13
XA-VIP,6,3,186,,,144,3,3,9,11
XA-VXK,6,1,240,,,136,1,1,7,9
XA-VAX,6,3,186,,,142,1,1,11,13
XA-VBJ,6,1,220,,,139,3,3,23,24
XA-VAO,6,3,186,,,142,3,3,11,13
XA-VAN,6,3,186,,,142,2,2,11,13
XA-VII,6,1,186,,,146,3,3,16,17
XA-VXN,6,1,240,,,136,1,1,14,16
XA-VXN,6,1,240,,,136,3,3,14,16
XA-VXE,6,1,240,,,136,4,4,20,22
XA-VXB,6,1,240,,,141,1,1,19,22
XA-VBJ,6,1,220,,,139,2,2,10,12
XA-VCC,6,1,230,,,136,1,1,20,22
XA-VXL,6,1,240,,,139,1,1,10,12
XA-VBV,6,1,220,,,136,1,1,7,9
XA-VXP,6,1,240,,,136,1,1,20,22
XA-VBT,6,3,220,,,144,3,3,20,22
XA-VXE,6,1,240,,,139,2,2,21,23
XA-VXH,6,3,240,,,143,3,3,15,17
XA-VBW,6,1,220,,,139,3,3,10,12
XA-VBM,6,1,240,,,136,4,4,23,24
XA-VIK,6,5,186,,,138,4,4,15,16
XA-VBQ,6,1,220,,,139,1,1,10,12
XA-VBM,6,1,240,,,139,1,1,10,12
XA-VBW,6,1,220,,,136,4,4,20,22
XA-VXC,6,3,240,,,143,1,1,13,15
XA-VIY,6,1,186,,,139,4,4,10,12
XA-VXC,6,3,240,,,143,1,1,17,19
XA-VBQ,6,1,220,,,139,3,3,21,23
XA-VBK,6,1,240,,,136,1,1,20,22
XA-VBN,6,1,220,,,136,5,5,20,22
XA-VXF,6,1,240,,,141,1,1,10,12
XA-VBN,6,1,220,,,136,1,1,14,16
XA-VAP,6,3,186,,,144,4,4,15,17
XA-VXG,6,1,240,,,139,2,2,21,23
XA-VIL,6,3,186,,,142,2,2,11,13
XA-VBW,6,1,220,,,136,3,3,14,16
XA-VCC,6,1,230,,,136,4,4,5,7
XA-VII,6,1,186,,,136,3,3,14,16
XA-VIH,6,3,186,,,144,4,4,15,17
XA-VYE,6,1,180,,,139,4,4,10,12
XA-VBH,6,1,240,,,139,3,3,21,23
XA-VIN,6,3,186,,,142,3,3,11,13
XA-VXK,6,1,240,,,136,1,1,7,9
XA-VXH,6,3,240,,,140,3,3,20,22
XA-VXL,6,1,240,,,136,4,4,23,24
XA-VBI,6,3,220,,,137,2,2,15,16
XA-VBZ,6,3,236,,,137,2,2,15,16
XA-VBQ,6,3,220,,,145,1,1,15,16
XA-VYF,6,3,180,,,142,2,2,11,13
XA-VBT,6,1,220,,,139,2,2,10,12
XA-VAA,6,1,186,,,136,1,1,14,16
XA-VIN,6,3,186,,,145,5,5,15,16
XA-VXO,6,1,240,,,136,1,1,7,9
XA-VXB,6,1,240,,,141,1,1,10,12
XA-VBI,6,1,220,,,139,1,1,10,12
XA-VBN,6,1,220,,,136,3,3,7,9
XA-VXM,6,3,240,,,143,1,1,17,19
XA-VBZ,6,1,236,,,136,1,1,20,22
XA-VXC,6,5,240,,,138,1,1,24,1
XA-VXN,6,1,240,,,136,3,3,20,22
XA-VBV,6,1,220,,,136,4,4,7,9
XA-VAC,6,1,180,,,139,4,4,10,12
XA-VXI,6,1,240,,,136,1,1,7,9
XA-VBX,6,3,240,,,142,1,1,11,13
XA-VIY,6,1,186,,,146,4,4,23,1
XA-VBI,6,1,220,,,136,2,2,20,22
XA-VBV,6,1,220,,,136,1,1,20,22
XA-VBH,6,1,240,,,136,2,2,20,22
XA-VBN,6,1,220,,,146,1,1,23,1
XA-VBQ,6,3,220,,,137,1,1,15,16
XA-VBW,6,3,220,,,140,3,3,20,21
XA-VBU,6,1,220,,,141,1,1,20,22
XA-VYB,6,1,180,,,146,4,4,23,1
XA-VXB,6,3,240,,,137,1,1,15,16
XA-VBH,6,5,240,,,138,3,3,15,16
XA-VXO,6,1,240,,,136,1,1,7,9
XA-VXL,6,3,240,,,137,2,2,15,16
XA-VAJ,6,1,186,,,146,1,1,17,19
XA-VBP,6,1,220,,,139,3,3,21,23
XA-VBN,6,1,220,,,136,3,3,7,9
XA-VIY,6,1,186,,,139,4,4,23,1
XA-VAV,6,1,186,,,146,4,4,23,1
XA-VIX,6,1,186,,,139,4,4,23,1
XA-VIK,6,1,186,,,141,3,3,10,12
XA-VYF,6,1,180,,,141,4,4,10,12
XA-VYF,6,1,180,,,139,4,4,10,12
XA-VBX,6,1,240,,,141,1,1,10,12
XA-VBV,6,3,220,,,137,1,1,12,14
XA-VBQ,6,3,220,,,137,1,1,15,16
XA-VXP,6,3,240,,,140,1,1,20,21
XA-VXA,6,1,240,,,141,2,2,20,22
XA-VAI,6,1,180,,,136,2,2,7,9
XA-VBI,6,3,220,,,143,2,2,15,17
XA-VXD,6,3,240,,,145,2,2,15,16
XA-VBP,6,3,220,,,137,3,3,15,16
XA-VBX,6,1,240,,,141,2,2,10,12
XA-VBT,6,3,220,,,140,2,2,20,22
XA-VIL,6,1,186,,,139,4,4,23,1
XA-VIN,6,1,186,,,146,5,5,23,1
XA-VXE,6,3,240,,,142,5,5,11,13
XA-VXI,6,1,240,,,139,1,1,20,22
XA-VXO,6,1,240,,,136,1,1,7,9
XA-VXE,6,3,240,,,145,3,3,15,16
XA-VXO,6,1,240,,,136,1,1,20,22
XA-VBI,6,1,220,,,136,1,1,7,9
XA-VBJ,6,1,220,,,141,3,3,10,12
XA-VIK,6,3,186,,,140,3,3,20,22
XA-VXL,6,1,240,,,139,1,1,21,24
XA-VXF,6,3,240,,,143,1,1,20,22
XA-VIN,6,3,186,,,137,5,5,14,16
XA-VXF,6,1,240,,,139,3,3,10,12
XA-VBA,6,1,240,,,141,1,1,10,12
XA-VIX,6,1,186,,,136,3,3,14,16
XA-VXF,6,1,240,,,139,2,2,21,23
XA-VBX,6,3,240,,,140,3,3,20,21
XA-VXF,6,3,240,,,145,3,3,15,16
XA-VCC,6,1,230,,,136,3,3,14,16
XA-VBS,6,1,240,,,136,1,1,20,22
XA-VIY,6,1,186,,,141,4,4,10,12
XA-VXC,6,3,240,,,142,4,4,11,13
XA-VXC,6,3,240,,,144,1,1,19,21
XA-VBP,6,1,220,,,136,3,3,7,9
XA-VXL,6,1,240,,,139,1,1,10,12
XA-VXL,6,1,240,,,146,1,1,23,1
XA-VXL,6,1,240,,,136,1,1,14,16
XA-VBM,6,3,240,,,145,1,1,15,16
XA-VBP,6,1,220,,,141,3,3,10,12
XA-VBJ,6,1,220,,,141,3,3,10,12
XA-VIL,6,3,186,,,144,4,4,15,17
XA-VBJ,6,3,220,,,143,3,3,15,17
XA-VIY,6,3,186,,,144,2,2,9,11
XA-VBK,6,1,240,,,136,1,1,20,22
XA-VXK,6,1,240,,,136,4,4,7,9
XA-VBI,6,1,220,,,139,2,2,21,23
XA-VXG,6,1,240,,,141,2,2,10,12
XA-VBN,6,1,220,,,136,4,4,23,24
XA-VXB,6,1,240,,,139,1,1,10,12
XA-VXO,6,1,240,,,136,2,2,7,9
XA-VXQ,6,3,240,,,142,4,4,11,13
XA-VAX,6,3,186,,,142,3,3,11,13
XA-VXM,6,1,240,,,139,1,1,23,1
XA-VBQ,6,1,220,,,139,2,2,21,23
XA-VBI,6,1,220,,,139,3,3,21,23
XA-VBH,6,1,240,,,136,2,2,7,9
XA-VBH,6,3,240,,,137,2,2,15,16
XA-VBT,6,1,220,,,136,3,3,20,22
XA-VIY,6,3,186,,,137,4,4,14,16
XA-VXD,6,1,240,,,136,2,2,7,9
XA-VXA,6,1,240,,,141,1,1,10,12
XA-VXR,6,1,240,,,146,3,3,23,1
XA-VIK,6,1,186,,,141,4,4,10,12
XA-VAU,6,3,186,,,144,1,1,9,11
XA-VXC,6,3,240,,,137,3,3,15,16
XA-VBP,6,1,220,,,139,3,3,21,23
XA-VAU,6,3,186,,,140,4,4,20,22
XA-VCC,6,1,230,,,136,3,3,20,22
XA-VYB,6,1,180,,,136,3,3,14,16
XA-VXA,6,3,240,,,137,2,2,15,16
XA-VBI,6,3,220,,,145,1,1,15,16
XA-VXI,6,1,240,,,141,1,1,22,24
XA-VXI,6,1,240,,,136,2,2,7,9
XA-VIS,6,1,186,,,146,4,4,23,1
XA-VIX,6,3,186,,,137,4,4,14,16
XA-VXG,6,1,240,,,139,1,1,21,24
XA-VBZ,6,1,236,,,139,1,1,21,24
XA-VYF,6,5,180,,,138,4,4,15,16
XA-VAW,6,3,186,,,142,3,3,11,13
XA-VCC,6,1,230,,,139,1,1,21,24
XA-VII,6,1,180,,,141,5,5,10,12
